"locationid","StartStation_Name","borough","zone"
383,"Frith Street, Soho"," Soho","Frith Street"
384,"Marloes Road, Kensington"," Kensington","Marloes Road"
386,"Moor Street, Soho"," Soho","Moor Street"
387,"Fire Brigade Pier, Vauxhall"," Vauxhall","Fire Brigade Pier"
388,"Southampton Street, Strand"," Strand","Southampton Street"
389,"Upper Grosvenor Street, Mayfair"," Mayfair","Upper Grosvenor Street"
390,"Buxton Street 1, Shoreditch"," Shoreditch","Buxton Street 1"
391,"Clifford Street, Mayfair"," Mayfair","Clifford Street"
392,"Imperial College, Knightsbridge"," Knightsbridge","Imperial College"
393,"Snow Hill, Farringdon"," Farringdon","Snow Hill"
394,"Aberdeen Place, St. John's Wood"," St. John's Wood","Aberdeen Place"
395,"Cadogan Gardens, Chelsea"," Chelsea","Cadogan Gardens"
396,"Shouldham Street, Marylebone"," Marylebone","Shouldham Street"
397,"Devonshire Terrace, Bayswater"," Bayswater","Devonshire Terrace"
398,"Holland Park, Kensington"," Kensington","Holland Park"
399,"Brick Lane Market, Shoreditch"," Shoreditch","Brick Lane Market"
400,"George Street, Marylebone"," Marylebone","George Street"
401,"Columbia Road, Shoreditch"," Shoreditch","Columbia Road"
402,"Penfold Street, Marylebone"," Marylebone","Penfold Street"
403,"George Place Mews, Marylebone"," Marylebone","George Place Mews"
404,"Palace Gate, Kensington Gardens"," Kensington Gardens","Palace Gate"
405,"Gloucester Road Station, South Kensington"," South Kensington","Gloucester Road Station"
408,"Paddington Green Police Station, Paddington"," Paddington","Paddington Green Police Station"
408,"Sun Street, Liverpool Street"," Liverpool Street","Sun Street"
409,"Strata, Elephant & Castle"," Elephant & Castle","Strata"
410,"Edgware Road Station, Marylebone"," Marylebone","Edgware Road Station"
411,"Rotherhithe Roundabout, Rotherhithe"," Rotherhithe","Rotherhithe Roundabout"
412,"Cleaver Street, Kennington"," Kennington","Cleaver Street"
419,"Chelsea Bridge, Pimlico"," Pimlico","Chelsea Bridge"
420,"Southwark Station 1, Southwark"," Southwark","Southwark Station 1"
421,"Southwark Station 2, Southwark"," Southwark","Southwark Station 2"
423,"Eaton Square (South), Belgravia"," Belgravia","Eaton Square (South)"
424,"Ebury Bridge, Pimlico"," Pimlico","Ebury Bridge"
425,"Harrington Square 2, Camden Town"," Camden Town","Harrington Square 2"
426,"Vincent Street, Pimlico"," Pimlico","Vincent Street"
427,"Cheapside, Bank"," Bank","Cheapside"
428,"Exhibition Road, Knightsbridge"," Knightsbridge","Exhibition Road"
430,"South Parade, Chelsea"," Chelsea","South Parade"
